date,product,category,quantity_sold,revenue,inventory_on_hand
2026-05-01,Chocolate Cupcakes,Cupcakes,34,136,80
2026-05-01,Croissant,Pastries,18,90,40
2026-05-01,Oat Milk Latte,Drinks,22,132,35
2026-05-02,Chocolate Cupcakes,Cupcakes,45,180,50
2026-05-02,Croissant,Pastries,12,60,35
2026-05-02,Oat Milk Latte,Drinks,31,186,24
2026-05-03,Chocolate Cupcakes,Cupcakes,58,232,32
2026-05-03,Croissant,Pastries,9,45,28
2026-05-03,Oat Milk Latte,Drinks,38,228,16
2026-05-04,Chocolate Cupcakes,Cupcakes,49,196,24
2026-05-04,Croissant,Pastries,11,55,25
2026-05-04,Oat Milk Latte,Drinks,41,246,12
2026-05-05,Chocolate Cupcakes,Cupcakes,52,208,20
2026-05-05,Croissant,Pastries,8,40,22
2026-05-05,Oat Milk Latte,Drinks,44,264,9
